id,platform,datetime,text,final_text,score,sentiment
2071893067918123401,Twitter,Tue Jun 30 09:46:15 +0000 2026,"Anggota Komisi II DPR RI, Romy Soekarno, mengusulkan skema baru Program Makan Bergizi Gratis (MBG) dengan menyalurkan dana sebesar Rp15.000 per hari langsung ke rekening orang tua siswa melalui kartu ATM khusus.

Usulan ini bertujuan agar orang tua dapat mengelola dana tersebut https://t.co/tZoXJUTeNh",anggota komisi ii dpr ri romy soekarno usul skema program makan gizi gratis mbg salur dana rp langsung rekening orang tua siswa kartu atm khusus usul tuju orang tua kelola dana,2,Positif
2071891284391072055,Twitter,Tue Jun 30 09:39:10 +0000 2026,"Vonis 10 tahun penjara terhadap Nadiem Makarim dalam perkara korupsi pengadaan Chromebook menjadi perhatian publik dan memicu perbincangan luas di media sosial.

Di platform X, sejumlah warganet mulai membandingkan putusan tersebut dengan proses hukum dugaan korupsi program Makan https://t.co/jxVtjkl2XX",vonis penjara nadiem makarim perkara korupsi ada chromebook perhati publik picu bincang luas media sosial platform x warganet banding putus proses hukum duga korupsi program makan,-2,Negatif
2071889233682596059,Twitter,Tue Jun 30 09:31:01 +0000 2026,"JAKARTA – Menteri Keuangan Purbaya Yudhi Sadewa menyatakan dukungan pada rencana pemangkasan anggaran program Makan Bergizi Gratis (MBG), yang tengah disiapkan oleh Badan Gizi Nasional (BGN).

Baca selengkapnya: https://t.co/0GkneIbLtN https://t.co/yExPPKRmes",jakarta  menteri uang purbaya yudhi sadewa dukung rencana mangkas anggar program makan gizi gratis mbg siap badan gizi nasional bgn baca lengkap,1,Positif
2071884540063490279,Twitter,Tue Jun 30 09:12:22 +0000 2026,DPR RI bersama Badan Gizi Nasional berkomitmen matangkan skema program Makan Bergizi Gratis. Fokus pada efektivitas distribusi &amp; pemenuhan standar gizi anak bangsa. https://t.co/NRyX8ffVfB,dpr ri badan gizi nasional komitmen matang skema program makan gizi gratis fokus efektivitas distribusi penuh standar gizi anak bangsa,8,Positif
2071880224791527884,Twitter,Tue Jun 30 08:55:13 +0000 2026,"Kawan Pajak, tahukah kamu kalau Program Makan Bergizi Gratis (MBG) juga berkontribusi terhadap penerimaan pajak?

Agar pelaksanaannya berjalan lancar, transparan, dan akuntabel, setiap pihak yang menjalankan kegiatan usaha dalam ekosistem MBG—mulai dari yayasan penyelenggara, https://t.co/tgcInxlj3i",kawan pajak tahu program makan gizi gratis mbg kontribusi terima pajak laksana jalan lancar transparan akuntabel jalan giat usaha ekosistem mbg mulai yayasan selenggara,5,Positif
2071878328194371818,Twitter,Tue Jun 30 08:47:41 +0000 2026,"Lewat Program Makan Bergizi Gratis, Jambi memanfaatkan bahan pangan lokal untuk memenuhi kebutuhan gizi anak sekaligus membuka peluang lebih besar bagi petani, peternak, dan UMKM daerah.

#MBGJambi
#MBGSehat https://t.co/YA7uaPCJk7",program makan gizi gratis jambi manfaat bahan pangan lokal penuh butuh gizi anak buka peluang tani ternak umkm daerah mbgjambi mbgsehat,6,Positif
2071878207582966042,Twitter,Tue Jun 30 08:47:12 +0000 2026,Program Makan Bergizi Gratis di Jambi serap bahan pangan lokal untuk perkuat gizi anak &amp; ekonomi desa #MBGJambi #MBGSehat https://t.co/Lj4VYCBIfi,program makan gizi gratis jambi serap bahan pangan lokal kuat gizi anak ekonomi desa mbgjambi mbgsehat,5,Positif
2071878173944660030,Twitter,Tue Jun 30 08:47:04 +0000 2026,Program Makan Bergizi Gratis di Jambi serap bahan pangan lokal untuk perkuat gizi anak &amp; ekonomi desa #MBGJambi #MBGSehat https://t.co/CFsIngMq8t,program makan gizi gratis jambi serap bahan pangan lokal kuat gizi anak ekonomi desa mbgjambi mbgsehat,5,Positif
2071870354654449813,Twitter,Tue Jun 30 08:16:00 +0000 2026,"@BANGSAygSUJUD Jika si ibu dikasih modal usaha, maka jajan &amp; makan bergizi adalah tangung jawab keluarga, BKN tangung jawab negara.
Negara bertangung jawab kpd rakyat:
1. Pendidikan SD-Universitas gratis
2. Kesempatan Kerja &amp; Usaha
3. Kesehatan
4. Publik servis
5. Keamanan &amp; Ketertiban
NO MBG.. https://t.co/u1WdyBLBuJ",si kasih modal usaha jajan makan gizi tangung keluarga bkn tangung negara negara bertangung kpd rakyat didik sduniversitas gratis sempat kerja usaha sehat publik servis aman tertib no mbg,4,Positif
2071870101608075572,Twitter,Tue Jun 30 08:15:00 +0000 2026,"Harga sembako di pasar tradisional Kabupaten Lebak turun selama Program Makan Bergizi Gratis atau MBG libur sementara saat libur panjang sekolah. Ayam, telur, cabai, dan sayuran kini lebih murah karena pasokan melimpah. #MBG #HargaSembako #mcinewsID https://t.co/AO8Hksm5So",harga sembako pasar tradisional kabupaten lebak turun program makan gizi gratis mbg libur libur sekolah ayam telur cabai sayur murah pasok limpah mbg hargasembako mcinewsid,2,Positif
2071867018685583836,Twitter,Tue Jun 30 08:02:45 +0000 2026,"Kawan Pajak, tahukah kamu kalau Program Makan Bergizi Gratis (MBG) juga berkontribusi terhadap penerimaan pajak? https://t.co/kjpx5yxjQx",kawan pajak tahu program makan gizi gratis mbg kontribusi terima pajak,3,Positif
2071866267573846251,Twitter,Tue Jun 30 07:59:46 +0000 2026,"Kawan Pajak, tahukah kamu kalau Program Makan Bergizi Gratis (MBG) juga berkontribusi terhadap penerimaan pajak?

Agar pelaksanaannya berjalan lancar, transparan, dan akuntabel, setiap pihak yang menjalankan kegiatan usaha dalam ekosistem MBG—mulai dari yayasan penyelenggara.. https://t.co/MV5YwEfLoo",kawan pajak tahu program makan gizi gratis mbg kontribusi terima pajak laksana jalan lancar transparan akuntabel jalan giat usaha ekosistem mbg mulai yayasan selenggara,5,Positif
2071866262888779853,Twitter,Tue Jun 30 07:59:45 +0000 2026,"Demo para Karyawan MBG di Alun Alun Brebes hari Minggu kemarin, 28 Juni 2026

Para Karyawan tersebut menuntut agar Program Makan Bergizi Gratis tetap dilanjutkan
@menuembegejelek https://t.co/BmRlXJBSDc",demo karyawan mbg alun alun brebes minggu kemarin juni karyawan tuntut program makan gizi gratis lanjut,1,Positif
2071864360054800818,Twitter,Tue Jun 30 07:52:11 +0000 2026,"Makan Bergizi (minus ""gratis"") hari ini:
-Grilled chicken with mushroom sauce
-Pan grilled carrots with beans
-Organic rice

Kalian hari ini makan siang apa? https://t.co/5zA1aA196t",makan gizi minus gratis grilled chicken with mushroom sauce pan grilled carrots with beans organic rice makan siang,1,Positif
2071858977055629315,Twitter,Tue Jun 30 07:30:48 +0000 2026,"Baca di sini: https://t.co/Bnsi8JziZL 

Libur sekolah membuat operasional dapur Program Makan Bergizi Gratis (MBG) ikut dihentikan sementara hingga 13 Juli 2026. Akibatnya, puluhan relawan Satuan Pelayanan Pemenuhan Gizi (SPPG) di Kota Malang kehilangan pekerjaan harian dan harus https://t.co/ekZRRT4FuK",baca libur sekolah operasional dapur program makan gizi gratis mbg henti juli akibat puluh rawan satu layan penuh gizi sppg kota malang hilang kerja hari,1,Positif
